"","DATAFLOW","LAST.UPDATE","freq","frequenc","deg_urb","sex","age","unit","geo","TIME_PERIOD","OBS_VALUE","OBS_FLAG","CONF_STATUS"
"2417","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","Y15-19","PC","BG",2014,2.1,"",NA
"2418","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","Y15-19","PC","BG",2019,0,"",NA
"2419","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","Y15-19","PC","CY",2014,0,"",NA
"2420","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","Y15-19","PC","CY",2019,0,"",NA
"2421","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","Y15-19","PC","CZ",2014,2.6,"u",NA
"2422","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","Y15-19","PC","CZ",2019,0,"u",NA
"2423","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","Y15-19","PC","DE",2014,0.6,"",NA
"2424","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","Y15-19","PC","DE",2019,0,"",NA
"2425","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","Y15-19","PC","DK",2014,0,"",NA
"2426","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","Y15-19","PC","DK",2019,0,"u",NA
"2427","ESTAT:HLTH_EHIS_AL1U(1.0)","27/10/22 23:00:00","A","DAY","DEG1","T","Y15-19","PC","EE",2014,0,"",NA
